1000 100 42
0,414,658,260,217,638,637,520,702,171,693,326,445,551,614,724,953,588,623,595,68,489,596,594,339,326,984,584,845,593,707,664
414,0,646,632,242,287,249,493,370,576,712,94,691,221,687,734,794,344,680,685,464,81,195,182,387,96,713,536,516,192,827,540
658,646,0,609,719,545,855,157,523,674,72,654,405,866,132,88,357,379,109,159,631,639,792,750,327,593,536,111,567,645,255,179
260,632,609,0,473,792,872,518,838,115,617,556,257,799,518,648,954,692,535,491,192,694,825,813,378,536,1054,576,965,785,561,685
217,242,719,473,0,517,430,563,594,388,770,149,616,335,714,798,950,524,715,702,283,324,397,405,397,187,919,621,742,434,833,668
638,287,545,792,517,0,361,433,83,773,618,370,757,427,636,629,565,166,621,647,668,216,305,256,440,332,433,441,228,137,782,382
637,249,855,872,430,361,0,712,435,806,925,316,940,121,915,944,926,498,905,916,695,220,63,108,631,343,776,744,549,226,1059,719
520,493,157,518,563,433,712,0,431,561,218,497,371,715,206,242,443,271,194,214,502,493,649,610,180,436,547,64,512,513,352,167
702,370,523,838,594,83,435,431,0,828,595,450,778,508,627,603,497,162,609,641,727,299,383,333,472,408,350,428,148,217,770,349
171,576,674,115,388,773,806,561,828,0,691,492,361,722,598,723,1004,695,612,573,111,646,763,758,398,483,1076,623,964,745,658,723
693,712,72,617,770,618,925,218,595,691,0,715,391,932,103,31,385,451,83,133,660,707,862,820,374,654,589,181,635,717,192,249
326,94,654,556,149,370,316,497,450,492,715,0,642,254,676,740,840,398,673,670,380,174,271,268,362,61,784,548,598,285,810,571
445,691,405,257,616,757,940,371,778,361,391,642,0,897,288,420,763,617,309,259,385,730,883,858,322,600,914,412,878,794,305,530
551,221,866,799,335,427,121,715,508,722,932,254,897,0,909,954,982,537,902,906,613,235,136,181,605,299,857,755,637,291,1048,749
614,687,132,518,714,636,915,206,627,598,103,676,288,909,0,132,483,471,23,29,575,694,852,814,319,619,669,199,687,719,146,301
724,734,88,648,798,629,944,242,603,723,31,740,420,954,132,0,364,463,113,161,691,727,880,838,403,679,578,199,635,732,203,254
953,794,357,954,950,565,926,443,497,1004,385,840,763,982,483,364,0,449,460,512,942,750,869,820,616,781,271,380,439,701,562,289
588,344,379,692,524,166,498,271,162,695,451,398,617,537,471,463,449,0,455,483,602,302,437,390,318,342,400,275,272,275,617,222
623,680,109,535,715,621,905,194,609,612,83,673,309,902,23,113,460,455,0,52,586,685,843,804,319,614,646,181,667,707,161,280
595,685,159,491,702,647,916,214,641,573,133,670,259,906,29,161,512,483,52,0,554,696,854,817,310,613,694,216,707,725,142,323
68,464,631,192,283,668,695,502,727,111,660,380,385,613,575,691,942,602,586,554,0,535,652,646,326,372,992,566,866,635,658,655
489,81,639,694,324,216,220,493,299,646,707,174,730,235,694,727,750,302,685,696,535,0,158,127,414,163,648,527,443,110,838,514
596,195,792,825,397,305,63,649,383,763,862,271,883,136,852,880,869,437,843,854,652,158,0,49,571,291,728,681,504,168,996,657
594,182,750,813,405,256,108,610,333,758,820,268,858,181,814,838,820,390,804,817,646,127,49,0,541,277,679,639,456,119,959,610
339,387,327,378,397,440,631,180,472,398,374,362,322,605,319,403,616,318,319,310,326,414,571,541,0,307,680,244,590,472,448,329
326,96,593,536,187,332,343,436,408,483,654,61,600,299,619,679,781,342,614,613,372,163,291,277,307,0,734,486,556,267,754,510
984,713,536,1054,919,433,776,547,350,1076,589,784,914,857,669,578,271,400,646,694,992,648,728,679,680,734,0,502,228,566,781,384
584,536,111,576,621,441,744,64,428,623,181,548,412,755,199,199,380,275,181,216,566,527,681,639,244,486,502,0,491,536,342,118
845,516,567,965,742,228,549,512,148,964,635,598,878,637,687,635,439,272,667,707,866,443,504,456,590,556,228,491,0,349,823,388
593,192,645,785,434,137,226,513,217,745,717,285,794,291,719,732,701,275,707,725,635,110,168,119,472,267,566,536,349,0,866,497
707,827,255,561,833,782,1059,352,770,658,192,810,305,1048,146,203,562,617,161,142,658,838,996,959,448,754,781,342,823,866,0,434
664,540,179,685,668,382,719,167,349,723,249,571,530,749,301,254,289,222,280,323,655,514,657,610,329,510,384,118,388,497,434,0
