1000 100 42
0,414,658,260,217,638,637,520,702,171,693,326,445,551,614,724,953,588,623,595,68,489,596,594,339,326,984,584,845,593,707,664,778,410,404,1012,374,370,513,435,250,874,308,602,548,802,425,677,617,899,937,513,719,668,947,335,207,888,702,131,528,524,705,1096
414,0,646,632,242,287,249,493,370,576,712,94,691,221,687,734,794,344,680,685,464,81,195,182,387,96,713,536,516,192,827,540,792,196,60,722,608,417,681,25,289,742,124,777,254,436,554,264,783,943,563,513,417,267,752,602,229,908,416,341,581,589,292,750
658,646,0,609,719,545,855,157,523,674,72,654,405,866,132,88,357,379,109,159,631,639,792,750,327,593,536,111,567,645,255,179,145,820,586,589,388,292,281,638,449,268,568,310,901,628,260,734,298,298,726,150,471,670,395,436,551,261,439,539,139,152,815,760
260,632,609,0,473,792,872,518,838,115,617,556,257,799,518,648,954,692,535,491,192,694,825,813,378,536,1054,576,965,785,561,685,690,665,604,1093,228,389,372,647,374,867,510,435,802,951,349,879,454,777,1085,496,835,854,971,177,402,783,810,290,470,457,922,1212
217,242,719,473,0,517,430,563,594,388,770,149,616,335,714,798,950,524,715,702,283,324,397,405,397,187,919,621,742,434,833,668,856,192,260,937,536,434,653,267,271,883,190,749,331,674,539,502,760,996,803,569,630,510,924,510,168,973,621,223,612,614,513,985
638,287,545,792,517,0,361,433,83,773,618,370,757,427,636,629,565,166,621,647,668,216,305,256,440,332,433,441,228,137,782,382,680,473,256,437,684,450,697,262,419,536,338,778,475,163,579,198,777,832,298,464,143,128,506,700,431,784,155,525,544,560,283,468
637,249,855,872,430,361,0,712,435,806,925,316,940,121,915,944,926,498,905,916,695,220,63,108,631,343,776,744,549,226,1059,719,999,262,297,766,857,658,925,243,538,894,373,1019,164,436,797,186,1024,1153,522,737,503,250,867,851,474,1111,517,584,810,821,127,730
520,493,157,518,563,433,712,0,431,561,218,497,371,715,206,242,443,271,194,214,502,493,649,610,180,436,547,64,512,513,352,167,301,663,434,592,322,149,278,487,295,358,410,349,748,546,187,608,346,450,662,32,394,549,453,361,395,418,363,394,112,129,685,738
702,370,523,838,594,83,435,431,0,828,595,450,778,508,627,603,497,162,609,641,727,299,383,333,472,408,350,428,148,217,770,349,649,557,335,353,711,476,706,345,472,477,410,781,557,117,595,260,778,798,246,464,69,189,432,731,497,747,92,584,544,561,344,394
171,576,674,115,388,773,806,561,828,0,691,492,361,722,598,723,1004,695,612,573,111,646,763,758,398,483,1076,623,964,745,658,723,770,580,558,1111,315,418,464,595,356,919,461,537,719,935,416,834,554,869,1070,545,834,818,1011,265,353,870,813,248,534,524,868,1214
693,712,72,617,770,618,925,218,595,691,0,715,391,932,103,31,385,451,83,133,660,707,862,820,374,654,589,181,635,717,192,249,86,881,652,643,389,337,262,704,499,298,628,268,966,699,276,806,254,231,794,203,542,742,435,440,602,202,510,579,164,169,887,819
